author,updated_at,like_count,text,video_id,public,tokens,word_count
@raquelsouza7555,2024-03-11T12:38:23Z,0,"eu achei que o maior erro é o tom pq é dificil acertar , to querendo comprar esse corretivo mas to com dificuldade em escolher o tom certo. inclusive se puder dizer qual é esse tom agradeço. agora o blush eu tenho fica lindo e o contorno a qualidade é muito boa mas a pigmentação deixa a desejar.",nxdjgqKkOlI,True,"['achei', 'maior', 'erro', 'tom', 'pa', 'difícil', 'acertar', 'to', 'querendo', 'comprar', 'corretivo', 'to', 'dificuldade', 'escolher', 'tom', 'certo', 'inclusive', 'puder', 'dizer', 'tom', 'agrado', 'agora', 'blusa', 'fica', 'lindo', 'contorno', 'qualidade', 'boa', 'pimentão', 'deixa', 'desejar']",31
@mrl1111,2024-03-09T01:46:14Z,0,"Oi, Ju! Eu ja vi muita gnt reclamando da textura desse corretivo por ele ser muito grosso e muito pesado. Parece que aquele com a ponta de esponja (o redondinho) é melhor. Mas esse batom, gnt peloamordedeus... nem pensar kkkkkkkk",nxdjgqKkOlI,True,"['oi', 'ja', 'vi', 'muita', 'gne', 'reclamando', 'ventura', 'desse', 'corretivo', 'grosso', 'pesado', 'parece', 'ponta', 'esponja', 'redondinho', 'melhor', 'bato', 'gne', 'peloamordedeus', 'pensar', 'kkkkkkkk']",21
,2024-03-08T19:30:59Z,0,"Eu sinceramente nem me arrisco a comprar coisas da Sheglam, prefiro comprar as marcas baratinhas nacionais que são pensadas para nós. Os produtos chineses são mais focados em peles claras, difícil ornar com peles negras.",nxdjgqKkOlI,True,"['sinceramente', 'arrisco', 'comprar', 'coisas', 'chegam', 'prefiro', 'comprar', 'marcas', 'beatinhas', 'nacionais', 'so', 'pensadas', 'produtos', 'chineses', 'so', 'bocados', 'peles', 'claras', 'difícil', 'ornar', 'peles', 'negras']",22
@leticiabento,2024-03-08T03:13:20Z,0,Diva. Salvou meu dinheiro.,nxdjgqKkOlI,True,"['diva', 'salvou', 'dinheiro']",3
@danielimello2755,2024-03-06T17:43:07Z,0,"Enfim ,foi taxada?! Adoro seus videos ❤ e tenho medo de comprar shein 😢ainda",nxdjgqKkOlI,True,"['enfim', 'tapada', 'adoro', 'vidros', 'medo', 'comprar', 'hein', 'ainda']",8
@ananegri4018,2024-02-29T21:37:15Z,0,😂😂,nxdjgqKkOlI,True,[],0
@simonealves9060,2024-02-29T10:12:43Z,0,Nossa Ju!! Acumulou muito!!,nxdjgqKkOlI,True,['acumulou'],1
@sinthian.amorim3329,2024-02-28T17:12:15Z,1,Alegria da Ju é contagiante!❤ Ju como faço pra comprar base online?sempre compro errado e eu não consigo consertar.. uma tristeza kkk,nxdjgqKkOlI,True,"['alegria', 'contagiante', 'pra', 'comprar', 'base', 'onlinesempre', 'compro', 'errado', 'consigo', 'consertar', 'tristeza', 'k']",12
@KleideNairaa,2024-02-28T05:14:18Z,0,Nunca testei nd deles e confesso a acho lindas as embalagens lindas mas n criei mt curiosidade em testar n kkk❤❤❤,nxdjgqKkOlI,True,"['nunca', 'tentei', 'confesso', 'acho', 'lindas', 'estalagens', 'lindas', 'n', 'criei', 'curiosidade', 'testar', 'n', 'k']",13
@athaisgama,2024-02-24T21:00:47Z,0,"Gosto de vídeos longos sim!!! Aliás, por mim podia ter juntado o mostrar o que chegou com o uso. Me irrita só ver a compra e não ver se funciona",nxdjgqKkOlI,True,"['gosto', 'vamos', 'longos', 'sim', 'ali', 'mim', 'podia', 'ter', 'juntado', 'mostrar', 'chegou', 'uso', 'irrita', 's', 'ver', 'compra', 'ver', 'funciona']",18
@kellyferreira1224,2024-02-24T20:01:00Z,1,"Ju, amo quando vc testa as coisas pq ai já tenho ideia de como vai ficar em mim. Amoooo dms",nxdjgqKkOlI,True,"['amo', 'vá', 'testa', 'coisas', 'pa', 'ai', 'j', 'ideia', 'vai', 'ficar', 'mim', 'amoroso']",12
@lannera,2024-02-24T19:10:10Z,1,"Comprei esse primer e foi uma tristeza, ficou muito claro na minha pele.",nxdjgqKkOlI,True,"['comprei', 'primor', 'tristeza', 'ficou', 'claro', 'pele']",6
@faribeiro2462,2024-02-24T14:34:30Z,0,"Mostra todo preparo da pele,  eu gosto de vídeo longo sim",nxdjgqKkOlI,True,"['mostra', 'todo', 'preparo', 'pele', 'gosto', 'longo', 'sim']",7
@terezavirginiaxx,2024-02-24T03:46:15Z,0,"Achei essa base horrivel, transferiu demais na minha pele e deixou muito oleosa depois que tirei!!🥴🙃",nxdjgqKkOlI,True,"['achei', 'base', 'horrivel', 'transferiu', 'demais', 'pele', 'deixou', 'oleosa', 'tirei']",9
@jaquelinedejesusfernandes7832,2024-02-24T03:11:21Z,0,Que triste Ju é difícil as marcas acertarem nos tons né 😢,nxdjgqKkOlI,True,"['triste', 'difícil', 'marcas', 'acertarem', 'tons', 'n']",6
@jaquelinedejesusfernandes7832,2024-02-24T03:05:04Z,0,"Eu tenho o contorno da Sheglam mas não deu certo porque é muito frio pro meu tom de pele que é media. Comprei o Golden Sun. Ainda bem que minha filha vai poder usar, ela é bem branquela kkkk só tem 5 aninhos e já ama usar contorno e blush cremoso. ❤❤❤",nxdjgqKkOlI,True,"['contorno', 'chegam', 'deu', 'certo', 'porque', 'frio', 'pro', 'tom', 'pele', 'media', 'comprei', 'golpes', 'sun', 'ainda', 'bem', 'filha', 'vai', 'poder', 'usar', 'bem', 'branqueja', 'kkkk', 's', 'anjinhos', 'j', 'ama', 'usar', 'contorno', 'blusa', 'cremos']",30
@OtakuPeveti,2024-02-23T11:35:13Z,2,"Obrigada, agora sim, eu sei passar longe de maquiagens não tão boas. Graças a vc🥰😍



Pois se não ja basta ser pobre",nxdjgqKkOlI,True,"['obrigada', 'agora', 'sim', 'sei', 'passar', 'longe', 'maquiagens', 'to', 'boas', 'gras', 'vá', 'pois', 'ja', 'basta', 'pobre']",15
@amandacastro5088,2024-02-22T23:55:28Z,0,"Ju, o corretivo não tem um cor mais quente? Pq ele é tão tão bom",nxdjgqKkOlI,True,"['corretivo', 'cor', 'quente', 'pa', 'to', 'to', 'bom']",7
@valeriacpereira21,2024-02-22T23:37:26Z,0,"Adoro videos longos... tipos o Karenflix kkkkkk
Faltou vc falar a cor do corretivo!!",nxdjgqKkOlI,True,"['adoro', 'vidros', 'longos', 'tipos', 'karenflix', 'kkkkkk', 'faltou', 'vá', 'falar', 'cor', 'corretivo']",11
@Joane36,2024-02-22T22:28:11Z,0,Amo vídeo longo! Sinto muito que os produtos não serviram. Espero que Sheglam reveja isso. Difícil viu,nxdjgqKkOlI,True,"['amo', 'longo', 'sinto', 'produtos', 'serviram', 'espero', 'chegam', 'revela', 'difícil', 'viu']",10
@lucimara.s,2024-02-22T12:36:22Z,0,"Eu acho que a palma da mão de quase todo mundo é diferente. No meu caso, a palma da mão é mais escura. Tenho o rosto branco e a palma da mão rosa meio azulada por causa das veias 😂😂😂",nxdjgqKkOlI,True,"['acho', 'palma', 'mo', 'quase', 'todo', 'mundo', 'diferente', 'caso', 'palma', 'mo', 'escura', 'rosto', 'branco', 'palma', 'mo', 'rosa', 'meio', 'azulada', 'causa', 'veias']",20
@lucimara.s,2024-02-22T12:30:43Z,4,Não sei se sabe mas a SheGlam vende amostra de base para testar. Eu comprei várias para testar as texturas e as cores.,nxdjgqKkOlI,True,"['sei', 'sabe', 'chegam', 'vende', 'amostra', 'base', 'testar', 'comprei', 'frias', 'testar', 'torturas', 'cores']",12
@lucimara.s,2024-02-22T12:28:49Z,15,"Eu gosto de vídeo longo, especialmente se for de preparação de pele. Faz sim! ❤",nxdjgqKkOlI,True,"['gosto', 'longo', 'especialmente', 'preparar', 'pele', 'faz', 'sim']",7
@Marinlss,2024-02-22T02:09:34Z,0,"Comprei 3 amostras das bases pra testar, a que o app dizia que era meu tom (Nutmeg) ficou muito estranho, porque parece que é meu tom mas tem um fundo branco. Sem falar que a base parece que NAO SECA odiei que ficou tudo grudento, nem no ventilador assentou. E me deu crise de dermatite",nxdjgqKkOlI,True,"['comprei', 'amostras', 'bases', 'pra', 'testar', 'ape', 'dizia', 'tom', 'numes', 'ficou', 'estranho', 'porque', 'parece', 'tom', 'fundo', 'branco', 'falar', 'base', 'parece', 'seca', 'odiei', 'ficou', 'tudo', 'prudente', 'ventilar', 'assentou', 'deu', 'crise', 'dermatite']",29
@MundoMulticolor,2024-02-22T01:06:02Z,2,Eu amo um vídeo longo❤,nxdjgqKkOlI,True,"['amo', 'longo']",2
@MundoMulticolor,2024-02-22T01:03:50Z,1,A cor no site e na vida real😮,nxdjgqKkOlI,True,"['cor', 'vite', 'vida', 'real']",4
@MundoMulticolor,2024-02-22T00:58:58Z,1,O Primer prometendo um milagre😂,nxdjgqKkOlI,True,"['primor', 'prometendo', 'milagre']",3
@MundoMulticolor,2024-02-22T00:57:12Z,1,Like 248,nxdjgqKkOlI,True,['lixe'],1
@thaysacramento785,2024-02-22T00:06:49Z,0,"Concordo Juh...vish nada ficou bom no seu tom, realmente lamentável 😢😊",nxdjgqKkOlI,True,"['concordo', 'juhvish', 'nada', 'ficou', 'bom', 'tom', 'realmente', 'lamentável']",8
@carmezinamanu5023,2024-02-21T22:21:04Z,6,"Ju, a textura desse corretivo parece ser pavorosa, embora você tenha dito que não marcou as linhas de expressão dá a sensação de que tem 1kg de corretivo na área dos olhos. Obrigada por me fazer economizar meu dinheirinho com esses testes. Kkkkkkk eu apostava muito no blush, mas a pigmentação não é a que outras blogs e as propagandas mostram. 😢",nxdjgqKkOlI,True,"['ventura', 'desse', 'corretivo', 'parece', 'pavorosa', 'embora', 'dito', 'marcou', 'linhas', 'expresso', 'd', 'sensaço', 'k', 'corretivo', 'rea', 'olhos', 'obrigada', 'fazer', 'economizar', 'dinheirinho', 'tentes', 'kkkkkkk', 'apostava', 'blusa', 'pimentão', 'outras', 'bons', 'propaganda', 'mostram']",29
@agnesbraga4712,2024-02-21T20:51:27Z,0,Amoo aqueles videos “filme” de tão longos hahaha,nxdjgqKkOlI,True,"['amoo', 'vidros', 'firme', 'to', 'longos', 'havana']",6
@kelinascimentopereira9750,2024-02-21T20:46:03Z,0,Marav estar cheia de novidades,nxdjgqKkOlI,True,"['cheia', 'novidades']",2
@kelinascimentopereira9750,2024-02-21T20:45:41Z,0,Ju volta testar maquiagem baratinha,nxdjgqKkOlI,True,"['volta', 'testar', 'maquinem', 'barbinha']",4
@thaniamorena2778,2024-02-21T19:04:37Z,1,"Ju estou aguardando você lançar sua marca, tem tudo a ver com nossa pele negra. Com relação a esses produtos do vídeo, não achei interessante, só pela sua reação, vai dar ruim mesmo... bjos minha linda 🌹",nxdjgqKkOlI,True,"['aguardando', 'lançar', 'marca', 'tudo', 'ver', 'pele', 'negra', 'relho', 'produtos', 'achei', 'interessante', 's', 'real', 'vai', 'dar', 'ruim', 'ojos', 'linda']",18
@mannuzii,2024-02-21T18:02:05Z,0,"concordo com sua teoria, prefiro vídeos longos",nxdjgqKkOlI,True,"['concordo', 'teoria', 'prefiro', 'vamos', 'longos']",5
@larissicastrom,2024-02-21T17:59:18Z,0,amo video looongo,nxdjgqKkOlI,True,"['amo', 'vidro', 'longo']",3
@jhanab0512,2024-02-21T17:01:03Z,0,Eu amos seu vídeo e se fosse longo eu adoraria,nxdjgqKkOlI,True,"['amos', 'longo', 'adoraria']",3
@henriquejardim1692,2024-02-21T17:00:57Z,0,Quero vídeo longo juflix😂❤,nxdjgqKkOlI,True,"['quero', 'longo', 'juflix']",3
@henriquejardim1692,2024-02-21T16:54:12Z,0,"Ju testa os produtos da "" nem so de blush"" tô doido no iluminador efeito molhado deles❤",nxdjgqKkOlI,True,"['testa', 'produtos', 'so', 'blusa', 't', 'doido', 'iluminador', 'efeito', 'molhado']",9
@biaalves2031,2024-02-21T16:06:13Z,4,"Amo vídeos longos, faz por favor Ju 🥺",nxdjgqKkOlI,True,"['amo', 'vamos', 'longos', 'faz', 'favor']",5
@regianefernandesdebritolim5960,2024-02-21T15:55:14Z,0,Tava eu querendo comprar um corretivo da Sheglam e me aparece esse vídeo 😂😂,nxdjgqKkOlI,True,"['taba', 'querendo', 'comprar', 'corretivo', 'chegam', 'aparece']",6
@jessicacordeiro6872,2024-02-21T15:40:04Z,0,"Eu curto videos longos explicativos kkk, e concordo com tudo o que tu falou !",nxdjgqKkOlI,True,"['curto', 'vidros', 'longos', 'explicativos', 'k', 'concordo', 'tudo', 'falou']",8
@I_am_Gris,2024-02-21T15:34:07Z,0,"Realmente nem aqui e nem na China nunca foi tão real.

Deu bom não,  dona Shein!
Melhore.

Você é mara, Ju! 🤎🫠

Ahhhh, editando:
Amo vídeos longos,  só vem!",nxdjgqKkOlI,True,"['realmente', 'aqui', 'clina', 'nunca', 'to', 'real', 'deu', 'bom', 'dona', 'hein', 'melhores', 'ahhhh', 'deitando', 'amo', 'vamos', 'longos', 's', 'vem']",18
@anacristinafreitas6969,2024-02-21T15:23:34Z,28,"Poxa Ju, a gente cria uma expectativa tão grande e dá tristeza ver que os produtos não performa na nossa pele.",nxdjgqKkOlI,True,"['puxa', 'gente', 'cria', 'expectativa', 'to', 'grande', 'd', 'tristeza', 'ver', 'produtos', 'reforma', 'pele']",12
@anacarolinaleite5976,2024-02-21T15:14:45Z,2,"Ju eu gosto da vídeos longos , um passo de cada vez e explicando cada detalhes ❤❤❤❤",nxdjgqKkOlI,True,"['gosto', 'vamos', 'longos', 'passo', 'cada', 'vez', 'explicando', 'cada', 'detalhes']",9
@elianebrigida7965,2024-02-21T15:13:22Z,0,Eu adoro vídeos longos,nxdjgqKkOlI,True,"['adoro', 'vamos', 'longos']",3
@CarolBodanese,2024-02-21T15:11:23Z,1,Adoro vídeos longos♡,nxdjgqKkOlI,True,"['adoro', 'vamos', 'longos']",3
@CarolBodanese,2024-02-21T15:05:45Z,0,""" Nem aqui nem na China "" nunca foi tão literal hahaha",nxdjgqKkOlI,True,"['aqui', 'clina', 'nunca', 'to', 'literal', 'havana']",6
@sabrinarosa3628,2024-02-21T15:03:57Z,4,"Ahhhhh, estava ansiosa para esse vídeo. Testando produtos da sheglam❤❤",nxdjgqKkOlI,True,"['ahhhhh', 'ansiosa', 'tentando', 'produtos', 'chegam']",5
@CamilladeLucas1,2019-11-26T21:19:25Z,23561,"Espero que tenham gostado porque tentei ser o mais transparente possível. Não acho justo indicar algo que vai fazer vocês gastarem grana se não funciona. Eu sei que as pessoas vão comentar: se não funciona e não tem compra de outra marca. Sim, é assim que tem que ser. Só que eu sou produtora de conteúdo e preciso buscar informações para o meu público e fazer com que eles não precisem passar por algumas dificuldades. Amo vocês e espero que compreendam meu trabalho nessa plataforma.",c3Ns-AgD-Vg,True,"['espero', 'gostado', 'porque', 'tentei', 'transparente', 'possivel', 'acho', 'justo', 'indicar', 'algo', 'vai', 'fazer', 'gostarem', 'grana', 'funciona', 'sei', 'pessoas', 'vo', 'comentar', 'funciona', 'compra', 'outra', 'marca', 'sim', 'assim', 's', 'produtora', 'contudo', 'preciso', 'buscar', 'informaçes', 'público', 'fazer', 'precisam', 'passar', 'algumas', 'dificuldades', 'amo', 'espero', 'compreendam', 'trabalho', 'nessa', 'plataforma']",43
@gigisantos2270,2024-03-21T21:59:20Z,0,Camila eu sou negra,c3Ns-AgD-Vg,True,"['camisa', 'negra']",2
@gigisantos2270,2024-03-21T21:55:55Z,0,Camila você bebê Refrigerante,c3Ns-AgD-Vg,True,"['camisa', 'bem', 'refrigerante']",3
@gigisantos2270,2024-03-21T21:55:38Z,0,Camila você comer besteira,c3Ns-AgD-Vg,True,"['camisa', 'comer', 'festeira']",3
@gigisantos2270,2024-03-21T21:53:06Z,0,Camila você é negra,c3Ns-AgD-Vg,True,"['camisa', 'negra']",2
@walescabarbosa9130,2023-12-05T15:30:58Z,0,"Eu errei ja compra assim, na internet a juliana se aproximava do meu tom, quando passei fiquei branca, tem que ser revisto as imagens, pois, estão completamente erradas, a Márcia ficou cinza em mim, nem sei se quero mais tentar!!😢",c3Ns-AgD-Vg,True,"['errei', 'ja', 'compra', 'assim', 'interno', 'julgava', 'aproximava', 'tom', 'passei', 'fiquei', 'branca', 'revisto', 'imagens', 'pois', 'esto', 'completamente', 'erradas', 'macia', 'ficou', 'cinza', 'mim', 'sei', 'quero', 'tentar']",24
@larissaemanuelly4478,2023-09-27T16:18:48Z,1,eu gostei muito 😀😘😍,c3Ns-AgD-Vg,True,['gostei'],1
@gigisantos2270,2023-09-08T23:07:45Z,0,Camilla  todo mundo  precisa de ajuda  você  eu todo mundo precisa de ajuda  você tem que entender,c3Ns-AgD-Vg,True,"['camisa', 'todo', 'mundo', 'precisa', 'ajuda', 'todo', 'mundo', 'precisa', 'ajuda', 'entender']",10
@gigisantos2270,2023-09-08T23:03:43Z,0,Eu tô preocupada com você é só isso,c3Ns-AgD-Vg,True,"['t', 'preocupada', 's']",3
@gigisantos2270,2023-09-08T23:02:27Z,0,Pois é,c3Ns-AgD-Vg,True,['pois'],1
@gigisantos2270,2023-09-08T23:02:08Z,0,Camilla  eu  sou  morena  clara  minha base  é  1a,c3Ns-AgD-Vg,True,"['camisa', 'morena', 'clara', 'base']",4
@gigisantos2270,2023-09-08T23:01:01Z,0,Com certeza  tá errado,c3Ns-AgD-Vg,True,"['certeza', 't', 'errado']",3
@gigisantos2270,2023-09-08T22:56:08Z,0,Se você não gosta  ninguém  não te  forçar,c3Ns-AgD-Vg,True,"['gosta', 'ninguem']",2
@gigisantos2270,2023-08-17T19:16:30Z,0,Camilla,c3Ns-AgD-Vg,True,['camisa'],1
@gigisantos2270,2023-08-17T19:15:17Z,0,Na  minha  vida  você  é  minha  amiga   eu  adoro  você,c3Ns-AgD-Vg,True,"['vida', 'amiga', 'adoro']",3
@gigisantos2270,2023-08-17T19:13:33Z,0,Camilla,c3Ns-AgD-Vg,True,['camisa'],1
@gigisantos2270,2023-08-17T19:13:20Z,0,Eu  gosto  muito  de  você,c3Ns-AgD-Vg,True,['gosto'],1
@gigisantos2270,2023-08-17T19:12:14Z,0,Eu  entendi  sua  a titute,c3Ns-AgD-Vg,True,"['entendi', 'tique']",2
@gigisantos2270,2023-08-17T19:11:40Z,0,Camilla,c3Ns-AgD-Vg,True,['camisa'],1
@gigisantos2270,2023-08-17T19:11:29Z,0,Dinheiro  não  cai  do  seu,c3Ns-AgD-Vg,True,"['dinheiro', 'cai']",2
@gigisantos2270,2023-08-17T19:10:56Z,0,Claro  que  você  toda  água  quem gastar  tudo  vai  gastar  tudo,c3Ns-AgD-Vg,True,"['claro', 'toda', 'rua', 'gastar', 'tudo', 'vai', 'gastar', 'tudo']",8
@gigisantos2270,2023-08-17T19:09:43Z,0,Fiu  camila  você  é  minha  amiga  minha  parceira,c3Ns-AgD-Vg,True,"['camisa', 'amiga', 'parceira']",3
@gigisantos2270,2023-08-17T19:08:54Z,0,Fico  bravinha vai  passar,c3Ns-AgD-Vg,True,"['fico', 'bravinha', 'vai', 'passar']",4
@gigisantos2270,2023-08-17T19:08:16Z,0,Não  fica  chateada,c3Ns-AgD-Vg,True,"['fica', 'chapeada']",2
@gigisantos2270,2023-08-17T19:08:02Z,0,Você  ta  brava  Camilla,c3Ns-AgD-Vg,True,"['ta', 'brava', 'camisa']",3
@gigisantos2270,2023-08-17T19:07:27Z,0,Camilla,c3Ns-AgD-Vg,True,['camisa'],1
@gigisantos2270,2023-08-17T19:07:11Z,0,Você  ta  falando  Você  ta  com  falta  de ar  vai  fazer  nebulização,c3Ns-AgD-Vg,True,"['ta', 'falando', 'ta', 'falta', 'ar', 'vai', 'fazer', 'nebulizao']",8
@gigisantos2270,2023-08-17T19:06:07Z,0,Você  tem  que  ser  pessoa  educada,c3Ns-AgD-Vg,True,"['pessoa', 'educada']",2
@gigisantos2270,2023-08-17T19:05:40Z,0,Ne Camilla,c3Ns-AgD-Vg,True,"['ne', 'camisa']",2
@gigisantos2270,2023-08-17T19:05:22Z,0,Você  é  difícil  Você  não  entende,c3Ns-AgD-Vg,True,"['difícil', 'entende']",2
@gigisantos2270,2023-08-17T19:04:39Z,0,Tô  com  falta  de ar,c3Ns-AgD-Vg,True,"['t', 'falta', 'ar']",3
@gigisantos2270,2023-08-17T19:04:24Z,0,Ne Camilla,c3Ns-AgD-Vg,True,"['ne', 'camisa']",2
@gigisantos2270,2023-08-17T19:04:07Z,0,Você  é  egoísta  e   é  engraçada,c3Ns-AgD-Vg,True,"['egoísta', 'engraçada']",2
@gigisantos2270,2023-08-13T01:32:29Z,0,Camilla  eu  tô  com  falta  de  ar  ainda   amiga,c3Ns-AgD-Vg,True,"['camisa', 't', 'falta', 'ar', 'ainda', 'amiga']",6
@gigisantos2270,2023-08-13T00:56:50Z,0,Você  ta  se  achando  egoísta  ne camila,c3Ns-AgD-Vg,True,"['ta', 'achando', 'egoísta', 'ne', 'camisa']",5
@filipespileresilveira178,2023-06-30T04:08:56Z,0,Grill,c3Ns-AgD-Vg,True,['grilo'],1
@gigisantos2270,2023-06-17T23:58:01Z,0,Quando  você  acorda,c3Ns-AgD-Vg,True,['acorda'],1
@gigisantos2270,2023-06-17T23:57:44Z,0,Sua  voz  parece  o homem  camila,c3Ns-AgD-Vg,True,"['voz', 'parece', 'homem', 'camisa']",4
@gigisantos2270,2023-06-05T02:07:54Z,0,Eu  gosto  de  pessoas  negras  eu  não  gosto  de  pessoas  pardas,c3Ns-AgD-Vg,True,"['gosto', 'pessoas', 'negras', 'gosto', 'pessoas', 'pardas']",6
@gigisantos2270,2023-06-05T02:06:57Z,0,Eu  gosto  de  você  camila  porque  você  é  negra,c3Ns-AgD-Vg,True,"['gosto', 'camisa', 'porque', 'negra']",4
@bibia725,2023-04-21T16:45:48Z,0,Amigaaa eu amo teus vídeos Camilla❤❤,c3Ns-AgD-Vg,True,"['amigada', 'amo', 'vamos', 'camisa']",4
@franciellesantos519,2023-04-09T19:49:03Z,0,😂😂😂😂disse então... vamos testar kkkkkkkkkkkk adorei,c3Ns-AgD-Vg,True,"['disse', 'ento', 'vamos', 'testar', 'kkkkkkkkkkkk', 'adorei']",6
@franciellesantos519,2023-04-09T19:47:59Z,0,Adorei o vídeo! Super sincera!,c3Ns-AgD-Vg,True,"['adorei', 'super', 'sincera']",3
@canaldaro.7152,2023-01-04T03:40:42Z,1,Nem gasto dinheiro co. Essa marca… 😊,c3Ns-AgD-Vg,True,"['gasto', 'dinheiro', 'co', 'marca']",4
@canaldaro.7152,2023-01-04T03:34:50Z,0,Camila realmente é linda!!!,c3Ns-AgD-Vg,True,"['camisa', 'realmente', 'linda']",3
@edisyaneoliveira6374,2022-12-01T19:41:07Z,0,Essa base revlon é que ton? Cappuccino?,c3Ns-AgD-Vg,True,"['base', 'revolu', 'tom', 'cappuccino']",4
@patriciaguerreiro5244,2022-08-29T19:55:13Z,0,saudades destes vídeos loucos.,c3Ns-AgD-Vg,True,"['saudades', 'destes', 'vamos', 'loucos']",4
@aquilavalentim6933,2022-07-05T03:13:49Z,0,Jesus Ama vocês JESUS TE Ama Jesus abençõe família 🏠🍋,c3Ns-AgD-Vg,True,"['jesus', 'ama', 'jesus', 'ama', 'jesus', 'aben', 'familia']",7
@julianafanumero1daisahmora439,2022-04-10T02:12:05Z,0,Kkkkkk vc é  muito  legal  e lindaa,c3Ns-AgD-Vg,True,"['kkkkkk', 'vá', 'legal', 'lindas']",4
@cecilialemos5735,2022-04-06T17:26:09Z,0,Ficou linda a base em voce cami ❤️,c3Ns-AgD-Vg,True,"['ficou', 'linda', 'base', 'voce', 'cami']",5
@cayckrodrigues2030,2022-03-11T12:37:54Z,0,Só acho que a Camila deveria lançar sua linha de maquiagem para mulheres negras,c3Ns-AgD-Vg,True,"['s', 'acho', 'camisa', 'deveria', 'lançar', 'linha', 'maquinem', 'mulheres', 'negras']",9
@cantinhodaeva474,2022-02-25T20:26:55Z,0,Peço  para gravar video usando a skin care da Hailey Bieber 😘,c3Ns-AgD-Vg,True,"['gravar', 'vidro', 'usando', 'sin', 'cara', 'baile', 'beber']",7
@MrTalita07,2022-01-18T05:03:52Z,0,"A base ficou linda em vc Camila, eu so nao me empolguei pra comprar essa base pq um.monte de bloqlgueira reclamou do pump que vem.quebrado.",c3Ns-AgD-Vg,True,"['base', 'ficou', 'linda', 'vá', 'camisa', 'so', 'empreguei', 'pra', 'comprar', 'base', 'pa', 'monte', 'bloqlgueira', 'reclamou', 'puma', 'requebrado']",16
@crislenegomes8071,2022-01-06T04:45:55Z,0,Amo seus vídeos 😍,c3Ns-AgD-Vg,True,"['amo', 'vamos']",2
@AnaBeatriz-oq2us,2022-01-03T03:54:13Z,1,Compra a base da negra rosa e muito boa   tem para  todos os tipos de pele negra,c3Ns-AgD-Vg,True,"['compra', 'base', 'negra', 'rosa', 'boa', 'todos', 'tipos', 'pele', 'negra']",9
@Makegam,2021-12-11T04:14:22Z,2,Lança sua marca Camilla de Lucas,c3Ns-AgD-Vg,True,"['lama', 'marca', 'camisa', 'luvas']",4
